var,importance,pvalue
PF00012,0.2807752543752544,0
PF00082,0.2152505446623094,0
PF00083,0.09888215488215489,0
PF00122,0.09247179487179487,0
PF00170,0.09416786916786915,0
PF00190,0.18746805046805046,0
PF00350,0.1777742919389978,0
PF00389,0.17783771043771043,0
PF00596,0.686676987174046,0
PF00743,0.7181586355909885,0
PF00931,0.14846679594914888,0
PF01408,0.18014814814814814,0
PF01494,0.6914010804010803,0
PF04828,2.2319959743558813,0
PF05721,0.09196906796906797,0
PF05729,0.14403640803640802,0
PF05730,0.13517203907203906,0
PF06314,0.39442815128341446,0
PF07110,0.2876873422873423,0
PF07287,0.08812475633528266,0
PF07470,0.36233788392550004,0
PF07859,0.1411277981277981,0
PF08530,0.2707227124727125,0
PF08531,0.15683643371878664,0
PF12051,0.09469629629629629,0
PF12695,0.11925396825396825,0
